"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","IIIF Access URL","Type.typeOfResource","Rights.copyrightStatus","Language","Description.note","Date.normalized","Date.creation","Title","Alt ID.local"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcckx/6r20kc97","ark:/21198/zz002gcckx","","","Page","satellite/image/Jiaodong_DS1103-2183DA022_22_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcckx/9j52bc9k","ark:/21198/zz002gcckx","","","Page","satellite/image/Jiaodong_DS1103-2183DA022_22_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcckx/pz977408","ark:/21198/zz002gcckx","","","Page","satellite/image/Jiaodong_DS1103-2183DA022_22_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccmf/4b94nx1s","ark:/21198/zz002gccmf","","","Page","satellite/image/Jiaodong_DS1103-2183DA023_23_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccmf/6764dz0h","ark:/21198/zz002gccmf","","","Page","satellite/image/Jiaodong_DS1103-2183DA023_23_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccmf/jq061v0v","ark:/21198/zz002gccmf","","","Page","satellite/image/Jiaodong_DS1103-2183DA023_23_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccmf/jw673d7p","ark:/21198/zz002gccmf","","","Page","satellite/image/Jiaodong_DS1103-2183DA023_23_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccnz/6303591t","ark:/21198/zz002gccnz","","","Page","satellite/image/Jiaodong_DS1103-2183DA024_24_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccnz/jh52vt2m","ark:/21198/zz002gccnz","","","Page","satellite/image/Jiaodong_DS1103-2183DA024_24_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccnz/m884ph1m","ark:/21198/zz002gccnz","","","Page","satellite/image/Jiaodong_DS1103-2183DA024_24_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccnz/r933nb49","ark:/21198/zz002gccnz","","","Page","satellite/image/Jiaodong_DS1103-2183DA024_24_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccpg/3z54wf9d","ark:/21198/zz002gccpg","","","Page","satellite/image/Jiaodong_DS1103-2183DF013_13_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccpg/h341f255","ark:/21198/zz002gccpg","","","Page","satellite/image/Jiaodong_DS1103-2183DF013_13_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccpg/rv474w86","ark:/21198/zz002gccpg","","","Page","satellite/image/Jiaodong_DS1103-2183DF013_13_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccpg/v3933x4q","ark:/21198/zz002gccpg","","","Page","satellite/image/Jiaodong_DS1103-2183DF013_13_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccq0/1n10qh46","ark:/21198/zz002gccq0","","","Page","satellite/image/Jiaodong_DS1103-2183DF016_16_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccq0/6609qb25","ark:/21198/zz002gccq0","","","Page","satellite/image/Jiaodong_DS1103-2183DF016_16_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccq0/bv867x2f","ark:/21198/zz002gccq0","","","Page","satellite/image/Jiaodong_DS1103-2183DF016_16_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccq0/sg92cg5p","ark:/21198/zz002gccq0","","","Page","satellite/image/Jiaodong_DS1103-2183DF016_16_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccrh/hf36m285","ark:/21198/zz002gccrh","","","Page","satellite/image/Jiaodong_DS1103-2183DF017_17_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccrh/jf71rq87","ark:/21198/zz002gccrh","","","Page","satellite/image/Jiaodong_DS1103-2183DF017_17_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccrh/jm36tn01","ark:/21198/zz002gccrh","","","Page","satellite/image/Jiaodong_DS1103-2183DF017_17_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccrh/qb82hq8q","ark:/21198/zz002gccrh","","","Page","satellite/image/Jiaodong_DS1103-2183DF017_17_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccs1/4m34vp1r","ark:/21198/zz002gccs1","","","Page","satellite/image/Laishan_DS1103-2183DF015_15_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccs1/bq03b848","ark:/21198/zz002gccs1","","","Page","satellite/image/Laishan_DS1103-2183DF015_15_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccs1/d9352g6d","ark:/21198/zz002gccs1","","","Page","satellite/image/Laishan_DS1103-2183DF015_15_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccs1/nj177s3x","ark:/21198/zz002gccs1","","","Page","satellite/image/Laishan_DS1103-2183DF015_15_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccv2/14157q74","ark:/21198/zz002gccv2","","","Page","satellite/image/Liangzhu_DS1106-2086DA079_79_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccv2/6060p82f","ark:/21198/zz002gccv2","","","Page","satellite/image/Liangzhu_DS1106-2086DA079_79_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccv2/rm34nd5z","ark:/21198/zz002gccv2","","","Page","satellite/image/Liangzhu_DS1106-2086DA079_79_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccv2/sk60nf0q","ark:/21198/zz002gccv2","","","Page","satellite/image/Liangzhu_DS1106-2086DA079_79_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccwk/01345w6d","ark:/21198/zz002gccwk","","","Page","satellite/image/Linfen_DS1105-1038DF068_68_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccwk/4g49q174","ark:/21198/zz002gccwk","","","Page","satellite/image/Linfen_DS1105-1038DF068_68_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccwk/c923jt3q","ark:/21198/zz002gccwk","","","Page","satellite/image/Linfen_DS1105-1038DF068_68_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccwk/z358f26p","ark:/21198/zz002gccwk","","","Page","satellite/image/Linfen_DS1105-1038DF068_68_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccx3/9t11m131","ark:/21198/zz002gccx3","","","Page","satellite/image/Linyin_Lanshan_District_Shandong_DS1115-2167DF046_46_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccx3/b906jc4z","ark:/21198/zz002gccx3","","","Page","satellite/image/Linyin_Lanshan_District_Shandong_DS1115-2167DF046_46_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccx3/gf28z47n","ark:/21198/zz002gccx3","","","Page","satellite/image/Linyin_Lanshan_District_Shandong_DS1115-2167DF046_46_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccx3/qd61pj0n","ark:/21198/zz002gccx3","","","Page","satellite/image/Linyin_Lanshan_District_Shandong_DS1115-2167DF046_46_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd0m/6g678s94","ark:/21198/zz002gcd0m","","","Page","satellite/image/Luoyang_Region_DS1102-2135DF122_122_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd0m/gt24bb9d","ark:/21198/zz002gcd0m","","","Page","satellite/image/Luoyang_Region_DS1102-2135DF122_122_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd0m/mb182s9j","ark:/21198/zz002gcd0m","","","Page","satellite/image/Luoyang_Region_DS1102-2135DF122_122_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd0m/xj60kd7s","ark:/21198/zz002gcd0m","","","Page","satellite/image/Luoyang_Region_DS1102-2135DF122_122_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd14/6214jd5s","ark:/21198/zz002gcd14","","","Page","satellite/image/Luoyang_Region_DS1105-2183DF092_92_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd14/cx64sm57","ark:/21198/zz002gcd14","","","Page","satellite/image/Luoyang_Region_DS1105-2183DF092_92_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd14/vw22vz9q","ark:/21198/zz002gcd14","","","Page","satellite/image/Luoyang_Region_DS1105-2183DF092_92_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd14/wg64qc71","ark:/21198/zz002gcd14","","","Page","satellite/image/Luoyang_Region_DS1105-2183DF092_92_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd2n/8r26sd7n","ark:/21198/zz002gcd2n","","","Page","satellite/image/Luoyang_Region_DS1111-1063AA024_24_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd2n/97045g8q","ark:/21198/zz002gcd2n","","","Page","satellite/image/Luoyang_Region_DS1111-1063AA024_24_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd2n/gq18rw0q","ark:/21198/zz002gcd2n","","","Page","satellite/image/Luoyang_Region_DS1111-1063AA024_24_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd2n/tj42521d","ark:/21198/zz002gcd2n","","","Page","satellite/image/Luoyang_Region_DS1111-1063AA024_24_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd35/2594z08b","ark:/21198/zz002gcd35","","","Page","satellite/image/Luoyang_Region_DS1111-1063AF017_17_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd35/2m388t7p","ark:/21198/zz002gcd35","","","Page","satellite/image/Luoyang_Region_DS1111-1063AF017_17_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd35/97707w1n","ark:/21198/zz002gcd35","","","Page","satellite/image/Luoyang_Region_DS1111-1063AF017_17_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd35/hr56gk9m","ark:/21198/zz002gcd35","","","Page","satellite/image/Luoyang_Region_DS1111-1063AF017_17_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd4p/2n23tr3j","ark:/21198/zz002gcd4p","","","Page","satellite/image/Luoyang_Region_DS1111-1063AF019_19_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd4p/7p00dx3c","ark:/21198/zz002gcd4p","","","Page","satellite/image/Luoyang_Region_DS1111-1063AF019_19_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd4p/m594kw47","ark:/21198/zz002gcd4p","","","Page","satellite/image/Luoyang_Region_DS1111-1063AF019_19_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd4p/wz29kn1k","ark:/21198/zz002gcd4p","","","Page","satellite/image/Luoyang_Region_DS1111-1063AF019_19_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd56/18298t2h","ark:/21198/zz002gcd56","","","Page","satellite/image/Mangshan_DS1108-2135DA036_36_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd56/bn07x32j","ark:/21198/zz002gcd56","","","Page","satellite/image/Mangshan_DS1108-2135DA036_36_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd56/f872694q","ark:/21198/zz002gcd56","","","Page","satellite/image/Mangshan_DS1108-2135DA036_36_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd56/nr05db9r","ark:/21198/zz002gcd56","","","Page","satellite/image/Mangshan_DS1108-2135DA036_36_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd6q/ns552j8x","ark:/21198/zz002gcd6q","","","Page","satellite/image/Mengyin_Shandong_DS1115-2167DF041_41_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd6q/r5937v0z","ark:/21198/zz002gcd6q","","","Page","satellite/image/Mengyin_Shandong_DS1115-2167DF041_41_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd77/5f02tp69","ark:/21198/zz002gcd77","","","Page","satellite/image/Northern_Shanxi_DS1102-2135DA103_103_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd77/gm78v43k","ark:/21198/zz002gcd77","","","Page","satellite/image/Northern_Shanxi_DS1102-2135DA103_103_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd77/kw92c836","ark:/21198/zz002gcd77","","","Page","satellite/image/Northern_Shanxi_DS1102-2135DA103_103_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd77/nm59207h","ark:/21198/zz002gcd77","","","Page","satellite/image/Northern_Shanxi_DS1102-2135DA103_103_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd8r/0642s694","ark:/21198/zz002gcd8r","","","Page","satellite/image/Northern_Shanxi_DS1102-2135DA105_105_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd8r/bd38zs93","ark:/21198/zz002gcd8r","","","Page","satellite/image/Northern_Shanxi_DS1102-2135DA105_105_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd8r/g7569p4n","ark:/21198/zz002gcd8r","","","Page","satellite/image/Northern_Shanxi_DS1102-2135DA105_105_a.tif","1","","","","","","","","","","Page 1",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd8r/j0434j9p","ark:/21198/zz002gcd8r","","","Page","satellite/image/Northern_Shanxi_DS1102-2135DA105_105_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd98/7q11ft4s","ark:/21198/zz002gcd98","","","Page","satellite/image/Northern_Shanxi_DS1102-2135DF096_96_b.tif","2","","","","","","","","","","Page 2",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd98/8j90mn49","ark:/21198/zz002gcd98","","","Page","satellite/image/Northern_Shanxi_DS1102-2135DF096_96_d.tif","4","","","","","","","","","","Page 4",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd98/9n54qv0w","ark:/21198/zz002gcd98","","","Page","satellite/image/Northern_Shanxi_DS1102-2135DF096_96_c.tif","3","","","","","","","","","","Page 3",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcd98/ck777w7g","ark:/21198/zz002gcd98","","","Page","satellite/image/Northern_Shanxi_DS1102-2135DF096_96_a.tif","1","","","","","","","","","","Page 1",""
